City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,plettenberg bay,-34.0527,23.3716,288.83,75,0,3.17,ZA,1710379381
159,otegen batyra,43.4278,77.0222,270.46,93,100,2.0,KZ,1710379382
160,santo antonio do ica,-3.1022,-67.9397,298.37,94,100,1.5,BR,1710379383
161,pader palwo,2.8006,33.135,296.81,44,20,1.77,UG,1710379384
162,ad dawadimi,24.5077,44.3924,291.79,37,17,6.47,SA,1710379385
163,bontang,0.1333,117.5,299.88,78,100,2.7,ID,1710379387
164,papao,-17.75,-149.55,303.97,73,2,2.31,PF,1710379389
165,hermanus,-34.4187,19.2345,290.08,78,0,2.43,ZA,1710379390
166,dauphin,51.1494,-100.0502,273.23,93,100,1.54,CA,1710379391
167,polotnyanyy zavod,54.7214,35.9661,264.43,100,97,1.66,RU,1710379392
168,barra de santo antonio,-9.4047,-35.5072,299.75,83,100,2.83,BR,1710379392
169,kupwara,34.0306,74.2642,261.5,88,12,1.59,IN,1710379393
170,cooma,-36.2333,149.1333,297.46,48,52,4.97,AU,1710379276
171,codrington,-38.2667,141.9667,290.25,59,94,6.23,AU,1710379395
172,stanley,54.868,-1.6985,283.55,90,75,2.57,GB,1710379130
173,invercargill,-46.4,168.35,290.94,51,41,7.15,NZ,1710379397
174,sao joao de pirabas,-0.7747,-47.1772,298.71,94,100,2.37,BR,1710379399
175,walvis bay,-22.9575,14.5053,289.68,94,0,3.6,NA,1710379167
176,aksuat,48.7167,83.7,267.14,97,100,0.44,KZ,1710379402
177,posto fiscal rolim de moura,-13.0833,-62.2667,300.27,76,25,1.1,BR,1710379083
178,olinda,-8.0089,-34.8553,300.0,94,40,2.06,BR,1710379404
179,kokopo,-4.352,152.2633,302.69,71,100,4.76,PG,1710379404
180,gudul,40.2105,32.2455,278.65,87,100,0.99,TR,1710379405
181,sant'antioco,39.0664,8.4522,283.26,83,0,1.76,IT,1710379408
182,sumbe,-11.2061,13.8437,300.6,86,100,1.68,AO,1710379411
183,yigo village,13.5361,144.8886,301.77,72,100,10.29,GU,1710379413
184,greenland,43.0362,-70.8328,280.51,77,75,2.57,US,1710379385
185,whitehorse,60.7161,-135.0538,275.58,52,75,5.14,CA,1710379420
186,pointe michel,15.25,-61.3833,299.68,77,7,4.76,DM,1710379420
187,sola,-13.8833,167.55,300.98,82,98,7.92,VU,1710379421
188,zarghun shahr,32.8473,68.4457,273.36,81,24,0.79,AF,1710379422
189,penzance,50.1186,-5.5371,284.53,88,100,8.84,GB,1710379423
190,doka,13.5167,35.7667,304.9,18,98,2.72,SD,1710379424
191,vernon,50.2581,-119.2691,283.89,49,94,1.79,CA,1710379425
192,umba,66.6871,34.3429,266.92,96,99,3.02,RU,1710379426
193,yuzhno-kurilsk,44.0306,145.8556,269.47,78,95,5.54,RU,1710379427
194,sao luiz gonzaga,-28.4083,-54.9608,298.29,54,2,2.99,BR,1710379211
195,bandarbeyla,9.4942,50.8122,298.97,74,47,3.78,SO,1710379429
196,college,64.8569,-147.8028,259.35,50,75,1.54,US,1710379430
197,fomboni,-12.28,43.7425,302.23,74,8,4.58,KM,1710379431
198,isabela,6.7085,121.9711,304.18,66,93,2.94,PH,1710379432
199,selfoss,63.9331,-20.9971,273.73,65,29,6.97,IS,1710379433
200,burela de cabo,43.65,-7.4,284.91,81,100,2.9,ES,1710379434
201,tuy hoa,13.0833,109.3,299.1,73,50,1.02,VN,1710379435
202,rongelap,11.1635,166.8941,299.49,80,38,10.97,MH,1710379278
203,fale old settlement,-9.3852,-171.2468,302.82,69,56,5.75,TK,1710379439
204,manggar,-2.8833,108.2667,301.18,77,100,4.76,ID,1710379440
205,waingapu,-9.6567,120.2641,299.64,92,100,6.89,ID,1710379441
206,lewistown,40.5992,-77.5714,287.38,58,0,1.54,US,1710379319
207,khartoum,15.5518,32.5324,304.29,13,8,1.5,SD,1710379396
208,zella-mehlis,50.65,10.65,280.21,92,100,1.53,DE,1710379446
209,'alaqahdari dishu,30.4374,63.313,282.5,41,0,1.81,AF,1710379447
210,bandar lampung,-5.4254,105.258,298.22,91,100,1.49,ID,1710379448
211,nemuro,43.3236,145.575,272.41,60,75,5.59,JP,1710379450
212,kayangel,8.0823,134.7173,300.64,78,33,7.99,PW,1710379451
213,ayvacik,39.6011,26.4047,281.06,78,5,0.22,TR,1710379451
214,east london,-33.0153,27.9116,292.86,86,100,3.19,ZA,1710379452
215,port mathurin,-19.6833,63.4167,299.71,77,4,9.7,MU,1710379453
216,lerwick,60.1545,-1.1494,281.15,81,55,14.95,GB,1710379454
